"age","qx","lx","dx","px","Lx","Tx","ex","gender"
21,0.00130288759549017,98664.7278589888,128.54905003989,0.99869711240451,98600.4533339688,5305318.16180655,53.7711731125321,"Male"
22,0.00135861519232346,98536.1788089489,133.872749523339,0.998641384807677,98469.2424341872,5206717.70847259,52.840670009823,"Male"
23,0.00140955423276178,98402.3060594256,138.703387019584,0.998590445767238,98332.9543659158,5108248.4660384,51.9118775829654,"Male"
24,0.00147536737280776,98263.602672406,144.974913317413,0.998524632627192,98191.1152157473,5009915.51167248,50.9844477041482,"Male"
25,0.00153011911962017,98118.6277590886,150.133188325076,0.99846988088038,98043.561164926,4911724.39645674,50.0590408634386,"Male"
26,0.0015596682126996,97968.4945707635,152.798346828053,0.9984403317873,97892.0953973495,4813680.83529181,49.1349883080509,"Male"
27,0.00163776211368397,97815.6962239354,160.198841399181,0.998362237886316,97735.5968032359,4715788.73989446,48.2109612459162,"Male"
28,0.00169429575850677,97655.4973825363,165.4572950101,0.998305704241493,97572.7687350312,4618053.14309122,47.2892286340151,"Male"
29,0.00173014092177119,97490.0400875262,168.671507820542,0.998269859078229,97405.7043336159,4520480.37435619,46.3686379685322,"Male"
30,0.00176625551023267,97321.3685797056,171.894403517289,0.998233744489767,97235.421377947,4423074.67002258,45.4481347166846,"Male"
31,0.00181022795235602,97149.4741761883,175.862693710426,0.998189772047644,97061.5428293331,4325839.24864463,44.527665078242,"Male"
32,0.00188029655286415,96973.6114824779,182.33914738929,0.998119703447136,96882.4419087833,4228777.7058153,43.6075097252554,"Male"
33,0.00192831367073066,96791.2723350886,186.643933651166,0.998071686329269,96697.950368263,4131895.26390651,42.6887173215578,"Male"
34,0.00200957483095794,96604.6284014374,194.134229789573,0.997990425169042,96507.5612865427,4035197.31353825,41.7702275792638,"Male"
35,0.0020676506752786,96410.4941716479,199.343223377951,0.997932349324721,96310.8225599589,3938689.75225171,40.8533301907915,"Male"
36,0.00211904377471687,96211.1509482699,203.875640475276,0.997880956225283,96109.2131280323,3842378.92969175,39.9369396563782,"Male"
37,0.00220836583371326,96007.2753077946,212.019186577637,0.997791634166287,95901.2657145058,3746269.71656372,39.0206857194245,"Male"
38,0.00229124083091344,95795.256121217,219.490002232743,0.997708759169087,95685.5111201006,3650368.45084921,38.1059417621904,"Male"
39,0.00237379483277586,95575.7661189842,226.877259751839,0.997626205167224,95462.3274891083,3554682.93972911,37.1923039079155,"Male"
40,0.00247208550429194,95348.8888592324,235.710605999252,0.997527914495708,95231.0335562328,3459220.61224,36.2796111588358,"Male"
41,0.00255761255341651,95113.1782532332,243.262658695811,0.997442387446584,94991.5469238853,3363989.57868377,35.368280615409,"Male"
42,0.00266736388785184,94869.9155945373,253.052586900421,0.997332636112148,94743.3893010871,3268998.03175989,34.4576888392227,"Male"
43,0.00282713295693273,94616.8630076369,267.49445169048,0.997172867043067,94483.1157817917,3174254.6424588,33.5485086015015,"Male"
44,0.0030351917713776,94349.3685559465,286.368427075681,0.996964808228622,94206.1843424086,3079771.52667701,32.6422060244186,"Male"
45,0.00327127231264072,94063.0001288708,307.705687965495,0.996728727687359,93909.147284888,2985565.3423346,31.7400607916421,"Male"
46,0.00354877203724106,93755.2944409053,332.716167255187,0.996451227962759,93588.9363572777,2891656.19504971,30.8425909415958,"Male"
47,0.00380245326776564,93422.5782736501,355.234988039732,0.996197546732234,93244.9607796302,2798067.25869243,29.9506533687867,"Male"
48,0.00411735542473884,93067.3432856103,383.191330743039,0.995882644575261,92875.7476202388,2704822.2979128,29.0630655439695,"Male"
49,0.00451983483298703,92684.1519548673,418.917058471473,0.995480165167013,92474.6934256316,2611946.55029256,28.1811560574504,"Male"
50,0.00495010770397169,92265.2348963958,456.722850069406,0.995049892296028,92036.8734713611,2519471.85686693,27.3068383741291,"Male"
51,0.00543484331270259,91808.5120463264,498.964877744153,0.994565156687297,91559.0296074544,2427434.98339557,26.4401952421437,"Male"
52,0.00594938502101302,91309.5471685823,543.235652200246,0.994050614978987,91037.9293424822,2335875.95378812,25.5819465348509,"Male"
53,0.00648756437113344,90766.311516382,588.852288692879,0.993512435628867,90471.8853720356,2244838.02444563,24.7320617852855,"Male"
54,0.00715956577842639,90177.4592276891,645.631451072004,0.992840434221574,89854.6435021531,2154366.1390736,23.8902953967026,"Male"
55,0.00780749417298542,89531.8277766171,699.019223662673,0.992192505827015,89182.3181647858,2064511.49557145,23.0589673732834,"Male"
56,0.00842723652113951,88832.8085529545,748.615088512852,0.99157276347886,88458.501008698,1975329.17740666,22.2364823265623,"Male"
57,0.00921107259551106,88084.1934644416,811.349900518013,0.990788927404489,87678.5185141826,1886870.67639796,21.4212176122117,"Male"
58,0.00985872702722236,87272.8435639236,860.399141586203,0.990141272972778,86842.6439931305,1799192.15788378,20.6157160052422,"Male"
59,0.0107051411923226,86412.4444223374,925.057418314856,0.989294858807677,85949.91571318,1712349.51389065,19.816005962308,"Male"
60,0.0114461806956159,85487.3870040225,978.504078844088,0.988553819304384,84998.1349646005,1626399.59817747,19.0250241021046,"Male"
61,0.0123894962290609,84508.8829251785,1047.02248632365,0.987610503770939,83985.3716820166,1541401.46321287,18.2395200345694,"Male"
62,0.0133113174232475,83461.8604388548,1110.98731703638,0.986688682576752,82906.3667803366,1457416.09153085,17.4620609206114,"Male"
63,0.0143788783197869,82350.8731218184,1184.11318414684,0.985621121680213,81758.816529745,1374509.72475052,16.6908943723919,"Male"
