"age","qx","lx","dx","px","Lx","Tx","ex","gender"
75,0.0243613016727697,75443.3772136747,1837.89887151489,0.97563869832723,74524.4277779172,615393.414546861,8.15702368153418,"Female"
76,0.0266427695180336,73605.4783421598,1961.05379473478,0.973357230481966,72624.9514447924,540868.986768944,7.34821645006747,"Female"
77,0.0295775573390902,71644.424547425,2119.06707507758,0.97042244266091,70584.8910098862,468244.035324151,6.53566607983845,"Female"
78,0.0327260094502083,69525.3574723474,2275.28750566915,0.967273990549792,68387.7137195129,397659.144314265,5.71962746789799,"Female"
79,0.0365114438427059,67250.0699666783,2455.39715300641,0.963488556157294,66022.3713901751,329271.430594752,4.8962243572074,"Female"
80,0.0408227074192687,64794.6728136719,2645.09397059977,0.959177292580731,63472.125828372,263249.059204577,4.06281948458316,"Female"
81,0.0453435372987266,62149.5788430721,2818.08174637099,0.954656462701273,60740.5379698866,199776.933376205,3.21445353444216,"Female"
82,0.0511976444922126,59331.4970967011,3037.63289554764,0.948802355507787,57812.6806489273,139036.395406318,2.34338255749237,"Female"
83,0.0571479963223613,56293.8642011535,3217.08154433902,0.942852003677639,54685.3234289839,81223.7147573912,1.44285200367764,"Female"
84,0.0637900690042984,53076.7826568144,53076.7826568144,0.936209930995702,26538.3913284072,26538.3913284072,0.5,"Female"
